,category,title,tags,age_rating,image,description,cas1517,vader_sentiment,representation
96,From the Archives,Life on Mars - Series 2: Episode 6,"BBC, iPlayer, TV, Life on Mars, Series 2: Episode 6",12,https://ichef.bbci.co.uk/images/ic/1200x675/p07lgdt6.jpg,"As heroin hits the streets of Manchester, CID want culprits for the smuggling and dealing.",0.7002808139534884,Very negative,3.0
40,Films,Rush,"BBC, iPlayer, TV, Rush",15,https://ichef.bbci.co.uk/images/ic/1200x675/p08k2f7f.jpg,The story of the rivalry between 1970s F1 champions Niki Lauda and James Hunt.,0.6892050000000001,Positive,2.0
100,From the Archives,Our Girl - Series 2: Georgie & Elvis,"BBC, iPlayer, TV, Our Girl, Series 2: Georgie & Elvis",15,https://ichef.bbci.co.uk/images/ic/1200x675/p046dzpk.jpg,"Our first glimpse of army medic Georgie Lane, at work and in her explosive private life.",0.68919,Very negative,3.0
106,From the Archives,"Silent Witness - Series 9: 2. Ghosts, Part 2","BBC, iPlayer, TV, Silent Witness, Series 9: 2. Ghosts, Part 2",15,https://ichef.bbci.co.uk/images/ic/1200x675/p07zv22k.jpg,Leo pursues the man responsible for the hit-and-run.,0.685885,Positive,3.0
179,Comedy,Fleabag - Series 1: Episode 1,"BBC, iPlayer, TV, Fleabag, Series 1: Episode 1",15,https://ichef.bbci.co.uk/images/ic/1200x675/p07l28yc.jpg,"Angry, pervy, outrageous and hilarious, Fleabag arrives with a bang.",0.6758407142857144,Positive,3.0
104,From the Archives,Heroes - Series 3: 8. Villains,"BBC, iPlayer, TV, Heroes, Series 3: 8. Villains",15,https://ichef.bbci.co.uk/images/ic/1200x675/p08l06f8.jpg,Hiro tries to discover what drove Arthur Petrelli to create Pinehearst.,0.67161,Negative,3.0
204,Signed,Civilisations - Series 1: 9. The Vital Spark - Signed,"BBC, iPlayer, TV, Civilisations, Series 1: 9. The Vital Spark",15,https://ichef.bbci.co.uk/images/ic/1200x675/p060mfcz.jpg,Simon Schama explores the fate of art in the machine- and profit-driven world.,0.6704302189781022,Neutral,3.0
59,Films,Run,"BBC, iPlayer, TV, Run",15,https://ichef.bbci.co.uk/images/ic/1200x675/p0b7k58r.jpg,An after-dark joyride drives a small-town fish worker to risk everything.,0.670355,Very negative,3.0
37,Films,A Lonely Place to Die,"BBC, iPlayer, TV, A Lonely Place to Die",15,https://ichef.bbci.co.uk/images/ic/1200x675/p094bkdv.jpg,A group of mountaineers discover a Serbian girl held captive in the Scottish Highlands.,0.666855,Negative,3.0
155,Entertainment,Movies With Ali Plumb - The Suicide Squad,"BBC, iPlayer, TV, Movies With Ali Plumb, The Suicide Squad",15,https://ichef.bbci.co.uk/images/ic/1200x675/p09qnk17.jpg,"Margot Robbie, Idris Elba & director James Gunn on DC Comicss latest bad-guy epic.",0.666,Very negative,1.0
107,From the Archives,Bad Education - Series 1: 2. Sex Education,"BBC, iPlayer, TV, Bad Education, Series 1: 2. Sex Education",15,https://ichef.bbci.co.uk/images/ic/1200x675/p01hwzsq.jpg,Parents are worried about the impending arrival of the French exchange students.,0.6633633333333333,Negative,3.0
97,From the Archives,Bad Education - Series 2: 3. Funeral,"BBC, iPlayer, TV, Bad Education, Series 2: 3. Funeral",15,https://ichef.bbci.co.uk/images/ic/1200x675/p01k10wb.jpg,Abbey Grove is rocked by the news that deputy headmistress Miss Pickwell is dead.,0.6633213636363636,Very negative,3.0
173,Comedy,Famalam - Series 3: Episode 5,"BBC, iPlayer, TV, Famalam, Series 3: Episode 5",15,https://ichef.bbci.co.uk/images/ic/1200x675/p08p2853.jpg,Fat Sam goes in search of romance.,0.6605749999999999,Neutral,2.0
31,Films,Lara Croft: Tomb Raider,"BBC, iPlayer, TV, Lara Croft: Tomb Raider",15,https://ichef.bbci.co.uk/images/ic/1200x675/p07j8bh3.jpg,The heroine races against time to find a relic before it falls into the wrong hands.,0.65059,Neutral,3.0
